Route_ID	Route_Comb	Dup_Bw_Titles	Dup_Bw_Authors	Source_ID	Target_ID_All	Target_ID_0	Edition_ID	Matched_Entries	Last_Date	First_Date	Duration	Source_ID	Source_Location_Name_Standardized	Target_ID	Target_Location_Name_Standardized	interregional	international
1989	887;55	TRUE	TRUE	887	55	55	GH1563;GH1564A;GH1564B;GH1598A;GM1684;GM1685;GV1720	1092;1375;1510;4324;11583;11689;12100	1720	1563	157	887	Milan	55	Antwerp	TRUE	TRUE
1990	887;55;1377	FALSE	FALSE	887	55;1377	55	JW1641	8384	1641	1641	0	887	Milan	55	Antwerp	TRUE	TRUE
2493	1058;55	TRUE	TRUE	1058	55	55	SAB1562B;GH1563;GH1564A;GH1564B;GH1598A;JW1641	999;1057;1340;1475;4289;8348	1641	1562	79	1058	Paris	55	Antwerp	TRUE	TRUE
2494	1058;55;1305;245	TRUE	TRUE	1058	55;1305;245	55	TT1604;TT1605;TT1615;TT1618;TT1629;GS1655;GS1662B;GS1663;GS1673	5056;5302;6427;6976;8168;9053;9403;9649;10285	1673	1604	69	1058	Paris	55	Antwerp	TRUE	TRUE
2495	1058;55;222;245	TRUE	FALSE	1058	55;222;245	55	BS1703;BS1709;BS1729	11936;11988;12380	1729	1703	26	1058	Paris	55	Antwerp	TRUE	TRUE
2496	1058;55;922;1307	FALSE	FALSE	1058	55;922;1307	55	LA1597	3778	1597	1597	0	1058	Paris	55	Antwerp	TRUE	TRUE
3375	1472;55;77	TRUE	FALSE	1472	55;77	55	GM1684;GM1685	11581;11687	1685	1684	1	1472	Venice	55	Antwerp	TRUE	TRUE
3376	1472;55;77;516;477	FALSE	FALSE	1472	55;77;516;477	55	GV1720	12098	1720	1720	0	1472	Venice	55	Antwerp	TRUE	TRUE
117	77;55	TRUE	TRUE	77	55	55	JG1563;RV1576;DW1595;GMA1612;GMA1625	1246;2301;2863;6145;7871	1625	1563	62	77	Augsburg	55	Antwerp	TRUE	TRUE
476	201;55;591;891;942;1205	FALSE	FALSE	201	55;591;891;942;1205	55	GG1602	4539	1602	1602	0	201	Braunschweig	55	Antwerp	TRUE	TRUE
1010	412;55;1179	FALSE	FALSE	412	55;1179	55	GV1720	12342	1720	1720	0	412	Düsseldorf	55	Antwerp	TRUE	TRUE
1140	481;55;690;687;6;826	FALSE	FALSE	481	55;690;687;6;826	55	GG1602	4669	1602	1602	0	481	Frankfurt	55	Antwerp	TRUE	TRUE
1896	835;55	TRUE	TRUE	835	55	55	JG1563;RV1576;GMA1612;OC1616;OC1623;GMA1625;OC1666;OC1676	1195;2290;6134;6833;7656;7860;9847;10729	1676	1563	113	835	Mainz	55	Antwerp	TRUE	TRUE
2191	943;55;1534;1205	FALSE	FALSE	943	55;1534;1205	55	GG1602	4804	1602	1602	0	943	Münster	55	Antwerp	TRUE	TRUE
2831	1179;55	FALSE	FALSE	1179	55	55	LA1597	3640	1597	1597	0	1179	Roermond	55	Antwerp	TRUE	TRUE
699	323;55	TRUE	TRUE	323	55	55	JG1563;RV1576;GMA1612;OC1616;OC1623;GMA1625;OC1666;OC1676;CK1678	1198;2292;6136;6836;7660;7862;9850;10734;10801	1678	1563	115	323	Cologne	55	Antwerp	TRUE	TRUE
700	323;55;1179	FALSE	FALSE	323	55;1179	55	GG1602	4576	1602	1602	0	323	Cologne	55	Antwerp	TRUE	TRUE
701	323;55;826	FALSE	FALSE	323	55;826	55	CK1678	10798	1678	1678	0	323	Cologne	55	Antwerp	TRUE	TRUE
1813	826;55	FALSE	FALSE	826	55	55	GG1602	4482	1602	1602	0	826	Maastricht	55	Antwerp	TRUE	TRUE
1814	826;55;372;770	FALSE	FALSE	826	55;372;770	55	LA1597	3619	1597	1597	0	826	Maastricht	55	Antwerp	TRUE	TRUE
1664	770;55;828	FALSE	FALSE	770	55;828	55	LA1597	3269	1597	1597	0	770	Liège	55	Antwerp	TRUE	FALSE
1761	824;55	TRUE	TRUE	824	55	55	JG1563;RV1576;GMA1612;GMA1625	1296;2408;6260;7992	1625	1563	62	824	Lyon	55	Antwerp	TRUE	TRUE
1228	514;55;516	TRUE	TRUE	514	55;516	55	GM1684;GM1685;GV1720	11596;11702;12113	1720	1684	36	514	Genoa	55	Antwerp	TRUE	TRUE
1263	519;55	FALSE	FALSE	519	55	55	LA1597	3603	1597	1597	0	519	Ghent	55	Antwerp	FALSE	FALSE
1673	773;55;221;519	FALSE	FALSE	773	55;221;519	55	GV1720	12219	1720	1720	0	773	Lille	55	Antwerp	TRUE	TRUE
548	221;55	FALSE	FALSE	221	55	55	LA1597	3585	1597	1597	0	221	Bruges	55	Antwerp	FALSE	FALSE
865	377;55	FALSE	FALSE	377	55	55	JG1563	1237	1563	1563	0	377	Dillingen	55	Antwerp	TRUE	TRUE
1818	828;55	FALSE	FALSE	828	55	55	GG1602	4478	1602	1602	0	828	Machelen	55	Antwerp	FALSE	FALSE
1957	865;55	TRUE	FALSE	865	55	55	CE1552A;CE1553A;CE1560A;CE1565B;CE1566A;CE1586A;CE1650;CE1679	189;455;739;1634;1913;2565;8519;11020	1679	1552	127	865	Mechelen	55	Antwerp	FALSE	FALSE
2949	1205;55	FALSE	FALSE	1205	55	55	LA1597	3607	1597	1597	0	1205	s-Hertogenbosch	55	Antwerp	TRUE	TRUE
2859	1181;323	FALSE	FALSE	1181	323	323	OC1623	7558	1623	1623	0	1181	Rome	323	Cologne	TRUE	TRUE
87	55;323	TRUE	TRUE	55	323	323	TT1604;TT1605;TT1615;TT1618;TT1629;GS1655;GS1662B;GS1663;GS1673;LZ1680	5062;5308;6433;6982;8174;9059;9409;9655;10291;11418	1680	1604	76	55	Antwerp	323	Cologne	TRUE	TRUE
556	222;323	TRUE	FALSE	222	323	323	OC1608;OC1611;OC1616;OC1620;OC1623;OC1623;OC1666;OC1676	5601;5912;6589;7139;7661;7677;9908;10481	1676	1608	68	222	Brussels	323	Cologne	TRUE	TRUE
903	399;323	FALSE	FALSE	399	323	323	OC1623	7651	1623	1623	0	399	Dresden	323	Cologne	TRUE	FALSE
2007	887;323	TRUE	FALSE	887	323	323	OC1608;OC1611;OC1616;OC1620;OC1623;OC1666;OC1676	5696;6010;6685;7237;7518;10006;10579	1676	1608	68	887	Milan	323	Cologne	TRUE	TRUE
