Edition_ID	Edition_Title	Edition_Author	Edition_Location	Language	Edition_Publisher	Edition_Date	Author_VIAF	Author_WikiData_AF	Title_USTC	Title_OCLC	Entered
GK1602B	Delitiae Italiae dat is: Eyghentlijcke beschrijvinghe wat door gantsch Italien, in elcke stadt	Georg Kranitz	Arnhem	Dutch	Jan Janssen	1602	47823349			892838123	TRUE
GG1602	Prodromus Germaniae: Das ist, Vorläuffer und Wegweiser aller Wegen und Strassen, so auß den vornembsten Stätten deß Teutschlands auff andere darumbherligende Stätt und Flecken, biß in Italien, Franckreich, Artois, Hennegaw, Hollandt und Brabandt	Gerhard von Goltz	Cologne	German	Wilhelm Lützenkirchen	1602				632392925	TRUE
CS1603	Allgemeiner oder General Reyßbuch und Wegweiser	Cornelius Sutor	Ursell	German		1603	161516005			813807795	FALSE
TT1604	Sommaire description de la France, Allemagne, Italie & Espagne	Théodore Turquet de Mayerne	Rouen	French	Jean Petit	1604	95152542	Q19032157	USTC 6813346		TRUE
GK1604	Delitiae Italiae, Das ist: Eigentliche Beschreibung, was durch gantz Welschland in einer jeden Statt und Ort	Georg Kranitz	Leipzig	German	Valentin am Ende;Heirs of Johann Beyer	1604	47823349		USTC 2013751		FALSE
AP1604	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Luigi Zanetti;Guglielmo Facciotti	1604	VIAF17227673	Q177692	USTC 807445		FALSE
TT1605	Sommaire description de la France, Allemagne, Italie & Espagne	Théodore Turquet de Mayerne		French	Jacob Stoer	1605	95152542	Q19032157		12620061	TRUE
AM1605	Repertorio de caminos, va añadido el camino de Madrid a Roma	Alonso de Meneses	Alcalá de Henares	Spanish	Juan Gracian	1605	VIAF49565855		USTC 5001321		TRUE
GK1605	Delitiae Italiae, Das ist: Eigentliche Beschreibung, was durch gantz Welschland in einer jeden Statt und Ort	Georg Kranitz	Cologne	German	Widow of Balthasar Clipeus	1605	47823349		USTC 2092102		FALSE
AP1606	Le cose meravigliose dell'alma città di Roma con le poste d'Italia di nuovo corretto & ampliato	Andrea Palladio	Rome	Italian	Guglielmo Facciotti	1606	VIAF17227673	Q177692	USTC 4031831		FALSE
CS1606	Allgemeiner oder General Reyßbuch und Wegweiser	Cornelius Sutor	Ursell	German		1606	161516005			634886798	FALSE
OC1608	Nuouo itinerario delle poste per tutto il mondo	Ottavio Codogno	Milan	Italian	Girolamo Bordoni	1608	17563002	Q7109117	USTC 4031068		TRUE
AP1608	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Guglielmo Facciotti	1608	VIAF17227673	Q177692	USTC 4039120		FALSE
GK1609A	Delitiae Italiae, Das ist: Eigentliche Beschreibung, was durch gantz Welschland in einer jeden Statt und Ort	Georg Kranitz	Frankfurt	German	Johan Basse;Wolfgang Richter	1609	47823349		USTC 2080168		TRUE
GK1609B	Delitiae Italiae dat is: Eyghentlijcke beschrijvinghe wat door gantsch Italien, in elcke stadt	Georg Kranitz	Arnhem	Dutch	Jan Janssen	1609	47823349		USTC 870331		FALSE
AP1609	Le cose meravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Giacomo Mascardi;Mauritio Bona	1609	VIAF17227673	Q177692	USTC 4034550		FALSE
BR1610	La suite de la guide des chemins tant de France, d'Espagne, Italie et autre pays	Charles Estienne	Lyon	French	Benoît Rigaud	1610	47006790	Q538586			TRUE
FS1610B	Itinerario, overo nova descrittione de' viaggi principali d'Italia	Franciscus Schottus	Venice	Italian	Francesco Bolzetta	1610		Q15675601	USTC 4022077		TRUE
OC1611	Nuouo itinerario delle poste per tutto il mondo	Ottavio Codogno	Venice	Italian	Lucio Spineda	1611	17563002	Q7109117	USTC 4028351		TRUE
TT1611	Sommaire description de la France, Allemagne, Italie & Espagne	Théodore Turquet de Mayerne	Geneva	French	Jacob Stoer	1611	95152542	Q19032157			FALSE
AP1611	Le cose meravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Giacomo Mascardi;Mauritio Bona	1611	VIAF17227673	Q177692	USTC 4022166		FALSE
CE1612	La Grande Guide des chemins pour aller et venir par tout le Royaume de France, auec les noms des fleuues et riuieres qui courent parmy les dicts pays Augmenté du voyage de Saint-Jacques, de Rome, de Venise et de Hierusalem	Charles Estienne	Troyes	French	Nicolas Oudot	1612	VIAF116409342	Q538586	USTC 6802197		FALSE
GMA1612	Wegbüchlin der fürnemesten Wege und Gebreüchlichesten strasssen	Georg Mayr	Augsburg	German	Franck	1612	32051795			632738652	TRUE
